Company,Username,City,State,Date,Rating,Review,Distance,Cost,Cost.per.Mile,Sqft.Moved
Budget,Tabitha T,Reston,VA,2018-07-28,4,"The truck has seen better days. We received the truck below ""E"" and had to find the nearest diesel gas station for a 26' truck, which wasn't as easy as you would think. Was the truck as nice as a competitor truck? No, it had tape all in the side covering or holding broken parts and feared the engine was pieced together the same way. Did the truck serve its purpose? yes it did. The truck got our items moved from point A to point B without any issues and we did save $500 by using budget opposed to a competitor. Was it worth using Budget? You decide.",450.0,1200.0,2.67,1300.0
Budget,PAM & MIKE B,Pekin,IL,2018-07-20,3,* I did a review on their site.,220.0,,,800.0
Budget,Buddy F,Ortley Beach Toms River Twpshp,NJ,2018-07-19,1,"This was one of the worst experiences in my life. The truck was filthy and broke down 3 times within two days. One one break down, I spent over 5 hours at their repair facility. A trip that shold have taken 9 hours took 18",600.0,300.0,0.5,2500.0
Budget,Sean S,Worcester,MA,2018-07-18,3,truck was ok,30.0,150.0,5.0,1200.0
Budget,Mary L,Fort Worth,TX,2018-07-17,2,"They messed up my order by re-entering it into their system. Charged me for extra day because they changed it to 1 day from 2 that I had booked. Budget charges for after-hours drop off too - watch out for that. Just a bad experience. I paid more for after hours and could have used another Budget dealer and not paid the extra $10. When I called the customer service 800#, their answer was, ""What do you want me to do about it?"".",2.0,250.0,125.0,1100.0
Budget,Jing W,Marina Del Rey,CA,2018-07-13,1,"just terrible. why allow reservations when you don't actually ""reserve"" a truck. what good is ""reserving"" the price when you dont have a truck. Horrible experience with these amateurs. Would never use again.",,,,
Budget,Jing W,Garwood,NJ,2018-07-13,1,informed me 1 hour before i was scheduled to pick up the truck for a cross country move that they in fact did not have a truck. had to scramble to get a Pensky truck which was great. Budget has lost my business forever.,,,,
Budget,Jon W,Littleton,CO,2018-07-12,4,We made reservations about 2 weeks before the move. When we went in to pick up the truck they initially said they had no trucks at the size we made the reservation for. They said each Budget location is a franchise and that the corporate company doesn't share information with the individual locations. Fortunately they were able to track one down and after about an hour we were in the truck we reserved. My one complaint would be have the reservation system work company wide. That way you know you will get the truck you rented.,816.0,800.0,0.98,2000.0
Budget,Abdiel C,Port Richey,FL,2018-07-11,3,"The Cons: The truck was three years old. No branding anywhere and a gas guzzler. I added a trailer to transport my vehicle and the tie down straps for the wheels and the crank lever seemed a bit old and would loosen up if you went over big bumps on the road. The Pros: The office rep i picked it up from was courteous and addressed every concern i had. On the equipment side, everything worked well enough to make it happen comfortably from one state to the next.",500.0,600.0,1.2,1200.0
Budget,Jason B,Fairfax,VA,2018-07-09,1,"They did not have the truck I requested, paid for, and confirmed and made me drive an additional 4 hours back to return the truck. Service at the Chantilly location was incredibly rude and completely disrespectful. One of the poorest customer service experiences that I have ever had.",180.0,300.0,1.67,1200.0
Budget,Ron F,Thousand Oaks,CA,2018-07-06,5,thanks,,,,
Budget,Harrison P,Canton,GA,2018-07-04,3,"Budget overall was the best price for the size truck and equipment we required, and the young lady at the original pickup location was very professional & courteous; the young man at the location in Gainesville, GA was more than accommodating",690.0,,,1100.0
Budget,Angela V,Manhattan,NY,2018-07-04,5,Thumbs up!,1200.0,800.0,0.67,400.0
Budget,Kimberly P,Richmond,VA,2018-07-04,5,Doing a hybrid move was the cheapest option. I was able to secure a truck in the size that I needed about a week out from my move. The pick up and drop off locations were both convenient. I ended up using this company because they had a discount coupon which made them affordable.,200.0,220.0,1.1,1200.0
Budget,Richard W,Lawrenceville,GA,2018-06-25,2,"I reserved the truck a month in advance. Went to pick it up the morning of the move and they had no clue where the truck was, all they said was the order was cancelled. I wasnt notified of any cancellation. I had to drive 28 miles to pick up another truck which they wanted me to pay mileage on. The truck was sufficient and no mechanical issues but I dont personally think inwould use them again simply because one hand didnt know what the other was doing. Total lack of communication. I dont blame the people manning the counter, rather the budget organization has some serious issues to correct before Ill use them again.",25.0,162.0,6.48,3500.0
Budget,Chad B,Palmyra,PA,2018-06-25,4,Pickup location was efficient... truck was clean and prepared for the move.,5.0,150.0,30.0,2700.0
Budget,Steven P,Camp Verde,AZ,2018-06-25,3,I paid for an extra day on the rental truck but did not need it when we arrived in Aurora and got all unpacked. I ask Budget if I could get a refund for the extra day and they said that was not their policy. Not happy about that as I beleive it would go along way in up good relations with their customers.,750.0,875.0,1.17,2000.0
Budget,Debra L,North Canton,OH,2018-06-21,5,"Good vehicle, gas mileage. Just don't lose your contract. If you do and don't know where to go and the office you rented from not open, you could be stuck.",300.0,360.0,1.2,
Budget,Deb C,Magna,UT,2018-06-20,1,"If there was a rating less than poor I would use it. I had nothing but problems from the time I picked up my truck (when I had to re-arrange their yard to get the trailer I reserved and clean the truck I reserved) until today a day and half later than my planned arrival. Later because (even though I tried to talk to someone through customer service about a very questionable front tire) of a tire blow-out 5 hours into the first day of travel. And after calling roadside service 3 times in over 5 hours they finally sent someone out who I fairly certain was either drunk or high, mostly likely both. This put me an entire days travel behind. I tried calling customer service about being refunded or compensated but so far I just getting passed around the phone tree. Bottom-line unless you're moving to a house down the street...Budget still isn't an option. Total cost (according to plan) `$2000. Actual cost (blown-out tire 1.5 extra days of travel) $3000",1500.0,3000.0,2.0,750.0
Budget,Cheri B,Hamden,CT,2018-06-20,5,"We were very pleased with our 26-ft Budget truck rental. The cost was EXTREMELY reasonable, was easy to pick up and drop off, and the truck was very clean and dry.",650.0,650.0,1.0,2000.0
Budget,Kristian B,New York,NY,2018-06-17,4,"Good truck, ran well",600.0,600.0,1.0,1200.0
Budget,Steve B,Milton,FL,2018-06-16,4,only reason for good is top front of truck body leaks when it rains,700.0,600.0,0.86,1500.0
Budget,Gerald W,Seven Fields,PA,2018-06-16,5,Have used them before for moving items to storage and back as well as for business and have always found it to be reasonable..,38.0,78.0,2.05,1200.0
Budget,Ross S,Downingtown,PA,2018-06-15,1,"Side mirrors held together with a phone charging cord and duct tape. Mirror wouldn't stay still while driving. It would blow in. DO NOT USE BUDGET. They do not care for their trucks. They may cost less, but I've had too many bad experiences with Budget.",4.0,120.0,30.0,1850.0
Budget,Sandy T,Denver,CO,2018-06-09,1,"I was charged $255 for 2 days rental. The fee advertised was $23.99 per day. At sign in I was given options of insurance at no insurance, &7.00 and some outrageous cost of $60.00 or thereabouts. I chose $7.00 thinking some is better than none. I dropped my jaw to the ground when at check in I was presented a bill for mote than $200 dollars. I was told by the manager it was because of the coverages I chose and he had the paper with my initials on it. I said I'd chosen the $7.00 coverage to which he said it was $7.00 less than the highest rate. This company are deceitfull, dishonest, and untrustworthy. I'm going to seek damages for erroneous charges only presented at the end of the contract. Use this company to your own peril!",44.0,255.0,5.8,725.0
Budget,Stephen B,Elkridge,MD,2018-06-09,4,"Right front tire was out of alignment (made for a bumpy ride) and the cup holder was sticky, but it got me there and back (more than 200 miles)",206.0,302.0,1.47,1100.0
Budget,Ryan L,San Diego,CA,2018-06-08,3,"I don't even know what the benchmarks are for these trucks. They always seem pretty crappy and I've had them immediately overheat and generally be pieces of crap. I haven't used one in several years but had a small, short move this go around so picked this peach up. Not surprisingly the truck was old but I was a little surprised by just how dirty it was. The person renting me the truck said ""Budget doesn't wash their trucks."" I guess it doesn't really matter but this looked like it hadn't been washed in ages. This unit had been through it, there wasn't a square foot of the truck that didn't have dents and scratches and everything in the inside was basically falling apart. You know, all of this is aesthetic, but the rear view mirrors being held together with clear packing tape was pretty bad. None of this really gives you confidence as you're about to ford through the 405. After pulling out of the lot the tire low pressure gauge came on which sounds par for the course and gave me hope that at least the trouble lights were actually working. But you know what? The old thing did the trick and got me 200 miles down the road so I figure this was pretty average? I'd have felt safer in something newer but the objective of the move was achieved. Don't forget to fold those moving blankets if you rent them. I was told rather curtly that I should have read the tiniest of print on the side of the truck that said folding these is part of returning the truck clean to avoid a $25 fee. Fortunately, they gave me the time to do this.",220.0,500.0,2.27,800.0
Budget,Todd M,Ann Arbor,MI,2018-06-05,5,Truck is clean and in excellent condition.,25.0,40.0,1.6,800.0
Budget,Sandra M,West Haven,CT,2018-06-01,3,"The operation in Hartford, CT, was VERY unfriendly and unhelpful, otherwise I would have rated Excellent based on my experience out of Texas as well as the wonderful manager in North Branford, CT. The truck was in good condition but it, of course, struggled going through the Appalachian mountains with my car in tow (on a tow dolly). Build in plenty of time for crawling along your route going 45 miles per hour at times, versus Google maps projection. I might use them again, but it was exhausting driving extra time every day in order to meet our projections.",1650.0,1000.0,0.61,750.0
Budget,Harold H,Saint Augustine,FL,2018-05-23,5,"Moving sucks, they made it suck much less. Thanks guys!",35.0,485.0,13.86,1000.0
Budget,Caroline G,Gainesville,GA,2018-05-23,5,Great job,350.0,340.0,0.97,1200.0
Budget,Katie J,Escondido,CA,2018-05-21,4,It was fine,5.0,80.0,16.0,1400.0
Budget,Vickie K,Louisburg,NC,2018-05-20,5,I have rented trucks from Budget on several occasions and have never had any problems.,545.0,552.0,1.01,2434.0
Budget,Rhonda L,Aberdeen,MD,2018-05-19,4,"$1,800 ",821.0,,,1400.0
Budget,Chuck H,Mundelein,IL,2018-05-18,3,Taylor Rental had Budget's truck ready on time and functioned perfectly. The truck performed well. I was disappointed the truck did not have cruise control or a CD player--just a radio. The truck was relatively easy to drive. It was VERY frustrating to fill with gas. I had to hold the pump handle the whole time and fill it v-e-r-y s-l-o-w-l-y!,400.0,510.0,1.28,
Budget,John M,O'Fallon,IL,2018-05-15,5,Truck was as expected,1000.0,585.0,0.59,2400.0
Budget,Simon V,Burien,WA,2018-05-14,5,The truck was great and the process is fast.,50.0,150.0,3.0,2200.0
Budget,Lin B,Bourbon,MO,2018-05-09,5,"Awesome service at both ends. Rental agent even called us the next day, as we were on our way, making sure there were no problems, as he was concerned about a tire before we left. The service at the return end was also awesome. Very pleased with Budget.",1200.0,900.0,0.75,
Budget,gage s,Brooklyn,NY,2018-05-09,3,"good truck, sort of hard with a cat in the the cab to keep it calm but otherwise great ride",780.0,830.0,1.06,800.0
Budget,Alyssa S,Pittsburgh,PA,2018-05-08,5,Both the truck and moving materials we rented were in great working order. Easy to pick up and drop off the vehicle,5.0,200.0,40.0,1000.0
Budget,MONNA M,Hampton,VA,2018-05-07,5,Best rates we could find!,232.0,200.0,0.86,450.0
Budget,Emmaline S,Charlotte,NC,2018-05-04,5,"Budget was easy, quick and extremely accommodating.",900.0,343.0,0.38,440.0
Budget,Jennifer L,Forest Park,IL,2018-05-02,2,I had many issues with my rental truck.,150.0,300.0,2.0,500.0
Budget,Paul L,Peoria,AZ,2018-04-29,5,Drove 16ft truck from California to Arizona and the truck provided a very smooth ride,350.0,775.0,2.21,1200.0
Budget,Belinda L,Milwaukee,WI,2018-04-24,5,"Truck was clean, equipment was new, booking and pick up was flawless.",,775.0,,615.0
Budget,kevin n,Powder Springs,GA,2018-04-23,2,"Truck handled poorly, and the cab was incredibly small. I'm a tall guy but could not straighten my legs. Dropped truck off at 3:30 on a Sat and the office was closed for the weekend. Dropped key in the box but haven't heard yet what came of the drop-off.",1900.0,1600.0,0.84,1400.0
Budget,Chad W,New Glarus,WI,2018-04-18,5,We rented two 26' box trucks ourselves and drove them from Arizona to Wisconsin. Trucks ran strong the whole way.,1700.0,2000.0,1.18,2000.0
Budget,Gregory K,Sacramento,CA,2018-04-14,4,Good truck and good service.,1800.0,1500.0,0.83,500.0
Budget,John R,Dover,DE,2018-04-11,5,26' Diesel Truck with cruise control. Who can complain.,300.0,500.0,1.67,1800.0
Budget,Denise K,Spring,TX,2018-04-09,1,One of the helpers stole $280 and mail from my computer bag.,,1200.0,,1300.0
Budget,Wendy L,Fairview,OR,2018-04-02,4,"All went pretty well. The pickup and payment were easy and the staff friendly. The trucks do not have great power for the 26' size and were very slow on any hill and used a lot of gas. The only issue was that on return, we were told the gas was not full enough even though we had just filled it two blocks away. He stated that the nozzle has to be almost out of the tank in order to have it show full. That would have been useful to know prior to returning. Minor issue, but at the end of a long move, we really didn't want to make another gas trip. However, I would use them again.",1000.0,725.0,0.73,1800.0
Budget,Diane W,Aurora,CO,2018-03-30,4,The size was fine for my needs. The truck was clean and the pick up location personnel were extremely helpful.,800.0,750.0,0.94,800.0
Budget,Patricia D,Waynesboro,VA,2018-03-26,5,"Great service, affordable, great communication",400.0,300.0,0.75,3000.0
Budget,Rohan V,Houston,TX,2018-03-26,4,Just another truck rental company.,,,,
Budget,Paul C,Soulsbyville,CA,2018-03-20,4,Easy to drive the 26 foot truck.,,,,
Budget,Wayne L,Spokane,WA,2018-03-19,5,"they were easy to set up. I did not like the way they timed the pick up time to the return time to be the same. they should make it the same day, not same hour .",360.0,600.0,1.67,2500.0
Budget,Morris Z,Grandville,MI,2018-03-18,5,Reliable and hassle-free.,20.0,150.0,7.5,900.0
Budget,Michelle C,fairfax,VA,2018-03-16,2,"Although relatively cheaper than other companies, I would not recommend working with budget truck rentals. They transferred my reservation to a farther location on the day of my move. The second location did not have the extra materials I reserved (packing pads, dolly, etc). When I tried to call the office to make sure the charges for those materials were removed, no one answered. It took exactly 30 calls for someone to answer the phone. Budget corporate was no help in that process.",9.0,120.0,13.33,1200.0
Budget,Shari S,Sugarloaf,PA,2018-03-15,4,"It was a little hassle picking up and dropping off the truck, but it was clean and effective.",6.0,150.0,25.0,
Budget,edward t,long neck,DE,2018-03-13,5,"I rented the truck in PA, had a team from another firm load me in PA, I drover the 3.5 hrs down and it all worked out.",175.0,116.0,0.66,840.0
Budget,Roslyn H,Florence,MA,2018-03-13,5,Budget stepped in with an on the spot rental when The First provider botched the arrangements.,8.0,400.0,50.0,1000.0
Budget,Rod W,Dallas,TX,2018-03-09,4,"The truck was an older model, 300k miles, but it was certainly mechanically sound.",325.0,180.0,0.55,1000.0
Budget,Susan L,Irving,TX,2018-03-08,4,reasonable and convenient,,,,
Budget,Paul T,Newark,DE,2018-03-01,4,thanks,,,,
Budget,Derek M,Wendell,NC,2018-03-01,3,"Was confused when returning the truck. Had a preplanned return time scheduled with Budget, but when I got there, they were closed. I couldn't find a dropbox for a key. I had even asked if they'd be there at that time on Sunday and they confirmed when I picked it up. Fortunately, it all worked out, but confusing and frustrating regardless.",135.0,,,1300.0
Budget,Derek M,Lexington,NC,2018-03-01,3,"Was confused when returning the truck. Had a preplanned return time scheduled with Budget, but when I got there, they were closed. I couldn't find a dropbox for a key. I had even asked if they'd be there at that time on Sunday and they confirmed when I picked it up. Fortunately, it all worked out, but confusing and frustrating regardless.",135.0,,,1300.0
Budget,Anthony O,Pompano Beach,FL,2018-02-22,5,"Cheap transportation with plenty of room, truck was clean and staff was friendly. Will be back next time.",10.0,51.0,5.1,1700.0
Budget,Nancy F,Monroeville,PA,2018-02-20,3,I would not use Budget truck again for a rental. I found out two days before that there was no guarantee that a reservation would secure truck availability. This left me anxious and scrambling for a back-up plan.,23.0,50.0,2.17,1700.0
Budget,Eric R,Angels Camp,CA,2018-02-12,5,Budget went over and above to help me out. Good people.,150.0,800.0,5.33,4300.0
Budget,Jerri T,Wake Forest,NC,2018-01-23,4,Best bang for the buck!,22.0,150.0,6.82,2800.0
Budget,Nichole P,Jessup,MD,2018-01-21,4,"We drove a budget truck from Texas to Maryland and the mountains were tough since we were also towing a trailer with our car. For the price you get with budget, you can't expect to have the highest quality engine, but it worked fine and we made the trip without any problems!",1355.0,2300.0,1.7,650.0
Budget,Joseph H,Leesburg,FL,2018-01-16,3,"older truck , had some issues with water leakage",1000.0,1700.0,1.7,2000.0
Budget,Jerri T,Oxford,NC,2018-01-16,3,"We reserved a truck for pick up at one location only to be notified that it was at another location, which was several miles the opposite direction. We dropped back off on the assigned return date/time, but the next day, we received two emails that our truck rental was ""overdue"". The locations in the area need to have better communication between each other.",23.0,160.0,6.96,2700.0
Budget,Brian C,Union City,CA,2018-01-12,2,"Dirty truck, last driver also left a filthy pillow behind the seat, customer service said that here would be tie straps, and there were none provided by the rental shop. Cheaper than other rental truck companies, so you get what you pay for.",600.0,960.0,1.6,1200.0
Budget,Liberato D,Apollo Beach,FL,2018-01-10,4,"Good have been excellent if $800.00 was added when we changed to a larger truck - in the first place, it was the agent who recommended (very confident) that a 16 footer is all what we needed.",3000.0,3200.0,1.07,1620.0
Budget,Natalie A,State College,PA,2018-01-02,5,"We reserved our truck a couple of months in advance, and when we went to pick it up the morning of our move, it wasn't there. The previous user dropped it off at the wrong location. While this did delay us a couple of hours, the person we spoke to at the company quickly found us another truck at another close location. We ended up moving with a brand new truck that was in excellent condition. The flat-rate rental price was a great option that allowed for flexibility in our schedule and beat all competitors' prices. Returning the truck was a quick process as well. Even though there was an issue at the beginning of our move (which was at no fault of the company), they did everything they could to resolve the issue quickly and the rest of our move was smooth. I would use them again.",200.0,500.0,2.5,1200.0
Budget,LASHUNDRA T,Irving,TX,2017-12-27,5,The rental went very smoothly.,40.0,69.0,1.73,1000.0
Budget,Christian F,Independence,LA,2017-11-21,4,"I rented two trucks from Budget for my move, the big 26 footers. At pickup the gentleman was very nice but explained one truck needed an AC filter. We had to pickup the next day, but otherwise all was good.",1000.0,2000.0,2.0,3000.0
Budget,Becky T,Charlotte,NC,2017-11-21,5,"As far as Budget, the employee I rented the truck from was great. I did have to purchase full ins. coverage since my insurer did say that it wasn't covered. Truck was fine and the choice of size was perfect. No problems driving the 16 ft. truck that is not something that I have ever done before. The noise sounded like all of the food trays in an airplane were not fastened down...but what do you expect with a truck I suppose!?!",500.0,530.0,1.06,1500.0
Budget,Albert V,White Plains,NY,2017-11-09,1,The destination man who received the truck charged me illegally $57 because he opened the fuel tank and didn't see the fuel overflowing while the fuel gage indicated full.,1200.0,610.0,0.51,2500.0
Budget,Erich S,Los Angeles,CA,2017-11-08,5,It was a truck and it made it.,,,,
Budget,Cassandra M,Brown Deer,WI,2017-11-05,5,Very profession,600.0,,,
Budget,Gregory K,Madison,AL,2017-11-04,5,Awesome customer service.,10.0,90.0,9.0,900.0
Budget,Carol J,Arlington Heights,IL,2017-11-03,5,We did a cross country move. Renting the truck was easy as well as returning to a different location. The truck was very comfortable and quiet which made the trip so much more enjoyable.,1700.0,1000.0,0.59,1200.0
Budget,Candy O,Aurora,CO,2017-11-01,4,Efficient.,900.0,500.0,0.56,1400.0
Budget,Jamie T,Seattle,WA,2017-11-01,4,"16' truck did the job as expected. Pickup location in Ballard (Seattle) left a lot to be desired. On the morning of truck pickup, we waited over 1.5 hours to get the truck. There was only one guy running the counter and had a line of 5 people waiting. Disorganized, inefficient, and understaffed. Overall, the Budget truck was great and felt like it was well-maintained.",1600.0,1400.0,0.88,750.0
Budget,Tracie W,Corryton,TN,2017-10-30,5,Can't get any easier/cheaper than Budget! I use them for any/all of my moves!!!,900.0,380.0,0.42,2000.0
Budget,John D,Quakertown,PA,2017-10-29,5,Rented 2 trucks for 2 different weekends. Both trucks were as promised and ran great. No problems at all. Customer service was first rate. Have used Budget in the past and will do so again in the future.,1.0,,,1230.0
Budget,Avram W,Englewood,FL,2017-10-25,4,"The truck was fine. I wish that the company had warned me about my GPS trying to put me on Parkways that do not permit vehicles over 8 ft. A computer printout (or app) of a safe route through CT, NY, and NJ would be great.",1650.0,1600.0,0.97,1500.0
Budget,Stefany B,Charlotte,NC,2017-10-22,5,"Great price; easy to pick up, drive and drop off. Will definitely use again.",500.0,244.0,0.49,1000.0
Budget,Laura I,Norwalk,CT,2017-10-21,4,Great value.,1.0,50.0,50.0,1200.0
Budget,Jaison W,Kamas,UT,2017-10-20,4,Truck was an older model but well kept and ran well.,800.0,200.0,0.25,2000.0
Budget,Robert R,Rogers,AR,2017-10-18,3,Decent truck few amenities/ creature comforts cheaper than some of the main competitors,1600.0,1200.0,0.75,2100.0
Budget,William D,Westlake,OH,2017-10-17,5,Good job well done,450.0,600.0,1.33,
Budget,Pat N,Canton,OH,2017-10-17,5,"The truck ran perfectly with no problems. It was a 16' and filled to the brim. It was clean. Personnel for pickup and drop off were very personable. I would definitely use Budget again...............although I hope this will be my last move...ever.. These people were very professional which is not the experience I had with another truck rental company a while back. Kudo's to Budget and Zooming Moving, LLC",1200.0,1400.0,1.17,1100.0
Budget,Nick K,Las Vegas,NV,2017-10-17,4,good service,540.0,900.0,1.67,500.0
Budget,Cindy D,Napa,CA,2017-10-16,5,Was very easy to work with Budget,5.0,100.0,20.0,1200.0
Budget,Stephanie N,Carver,MA,2017-10-15,5,The office staff was very accommodating. They had to upgrade us as they didn't have a 12 foot available as the previous customer had not returned it on time.,90.0,235.0,2.61,
Budget,Teresa B,Jersey City,NJ,2017-10-15,4,The truck has a little issues.,200.0,450.0,2.25,300.0
Budget,Jacqueline M,durham,NC,2017-10-12,3,It was fine,10.0,139.0,13.9,200.0
Budget,William D,Virginia Beach,VA,2017-10-12,5,This truck is perfect for my move. The truck when I picked it up was in excellent condition. The customer service was awesome. They offered the best rates. Yes I would use them agian. No other comments other than the agent was a very kind and respectful person.,600.0,700.0,1.17,1500.0
Budget,Michelle H,Evans,GA,2017-10-11,5,Truck was if good working order. No issues. I drove it only 200 miles. It was an older model but it ran well. I would use them again.,200.0,220.0,1.1,1500.0
Budget,Susan C,Syosset,NY,2017-10-11,5,Renting the truck was easy and was the best price around for a one way move.,500.0,400.0,0.8,
Budget,Lynn H,Walnut Creek,CA,2017-10-10,4,"The truck rental was sufficient. The truck was old and quite noisy. Also, the cab was no longer sealed and air came in through the back. If it was rainy water would have come into the cab.",820.0,650.0,0.79,150.0
Budget,Rae R,Florissant,MO,2017-10-07,1,"Rental was booked online for a lesser price than what I had to pay one I got to the store. Truck was ""16ft with the additional trailer to tow my car. Trailer was old and rusty and was Extremely hard to detatch. It also caught a flat tire halfway through the trip which caused me to be 2hrs behind schedule. Wouldn't recommend this rental company",500.0,490.0,0.98,700.0
Budget,Charles S,Highland,IL,2017-10-07,5,The price was good and the truck had room in it,20.0,75.0,3.75,1400.0
Budget,Charles T,Woodbridge,VA,2017-10-07,4,688.00 that includes insurance and material.,500.0,,,1900.0
Budget,Kendra K,Denver,CO,2017-10-05,4,The gentleman who rented me the truck and car dolly were extremely kind and helpful. The woman I dropped my truck and trailer off to was rude and talked down to me. That's the only reason I gave one less star. Budget was the most affordable and the equipment operated perfectly.,260.0,450.0,1.73,1000.0
Budget,Danny F,Austin,TX,2017-10-04,5,Budget had the best rates and were ready with my reservation when i arrived.,,,,
Budget,C R,Charlotte,NC,2017-10-04,4,"On time, Professional, equipped with moving supplies to ensure no damage to property",600.0,500.0,0.83,2200.0
